駅名,時刻
新大阪,1980/4/1 18:22
大阪,1980/4/1 18:29
大阪,1980/4/1 18:34
神戸,1980/4/1 19:02
姫路,1980/4/1 19:53
姫路,1980/4/1 19:56
岡山,1980/4/1 21:04
岡山,1980/4/1 21:08
倉敷,1980/4/1 21:22
倉敷,1980/4/1 21:22
福山,1980/4/1 21:52
福山,1980/4/1 21:52
尾道,1980/4/1 22:07
三原,1980/4/1 22:21
三原,1980/4/1 22:22
広島,1980/4/1 23:30
広島,1980/4/1 23:35
岩国,1980/4/2 00:09
岩国,1980/4/2 00:10
柳井,1980/4/2 00:38
別府,1980/4/2 04:55
別府,1980/4/2 04:56
大分,1980/4/2 05:08
大分,1980/4/2 05:10
臼杵,1980/4/2 05:42
佐伯,1980/4/2 06:08
佐伯,1980/4/2 06:08
延岡,1980/4/2 07:04
延岡,1980/4/2 07:06
日向市,1980/4/2 07:30
宮崎,1980/4/2 08:26
