駅名,時刻
東京,1978/10/2 23:34
東京,1978/10/2 23:59
横浜,1978/10/3 0:36
小田原,1978/10/3 1:36
小田原,1978/10/3 1:37
熱海,1978/10/3 2:00
熱海,1978/10/3 2:02
沼津,1978/10/3 2:20
沼津,1978/10/3 2:22
静岡,1978/10/3 3:18
静岡,1978/10/3 3:20
浜松,1978/10/3 4:20
浜松,1978/10/3 4:23
豊橋,1978/10/3 5:01
豊橋,1978/10/3 5:02
名古屋,1978/10/3 6:15
名古屋,1978/10/3 6:40
米原,1978/10/3 8:14
米原,1978/10/3 8:22
京都,1978/10/3 9:27
京都,1978/10/3 23:52
