駅名,時刻
門司,1980/4/2 05:04
門司,1980/4/2 05:23
鳥栖,1980/4/2 07:13
鳥栖,1980/4/2 07:18
佐賀,1980/4/2 07:42
佐賀,1980/4/2 07:45
肥前山口,1980/4/2 07:59
肥前山口,1980/4/2 08:00
武雄温泉,1980/4/2 08:14
武雄温泉,1980/4/2 08:15
早岐,1980/4/2 08:53
早岐,1980/4/2 09:01
佐世保,1980/4/2 09:11
