駅名,時刻
名古屋,1980/4/1 22:50
岐阜,1980/4/1 23:13
岐阜,1980/4/1 23:14
京都,1980/4/2 00:42
京都,1980/4/2 00:43
大阪,1980/4/2 01:20
大阪,1980/4/2 01:24
広島,1980/4/2 05:49
広島,1980/4/2 05:53
宮島口,1980/4/2 06:11
岩国,1980/4/2 06:26
岩国,1980/4/2 06:27
下松,1980/4/2 07:15
小郡,1980/4/2 08:01
小郡,1980/4/2 08:03
小野田,1980/4/2 08:30
下関,1980/4/2 09:05
下関,1980/4/2 09:07
小倉,1980/4/2 09:19
小倉,1980/4/2 09:20
博多,1980/4/2 10:11
