駅名,時刻
大阪,1978/10/2 23:10
新大阪,1978/10/2 23:15
新大阪,1978/10/2 23:16
京都,1978/10/2 23:49
京都,1978/10/2 23:50
豊橋,1978/10/3 3:38
豊橋,1978/10/3 3:38
浜松,1978/10/3 4:11
浜松,1978/10/3 4:27
静岡,1978/10/3 5:33
静岡,1978/10/3 5:44
沼津,1978/10/3 6:41
沼津,1978/10/3 6:58
熱海,1978/10/3 7:26
熱海,1978/10/3 7:28
横浜,1978/10/3 9:01
品川,1978/10/3 9:26
東京,1978/10/3 9:36
