駅名,時刻
新大阪,1980/4/1 17:55
大阪,1980/4/1 18:01
大阪,1980/4/1 18:04
三宮,1980/4/1 18:29
姫路,1980/4/1 19:25
姫路,1980/4/1 19:27
岡山,1980/4/1 20:36
岡山,1980/4/1 20:40
倉敷,1980/4/1 20:54
倉敷,1980/4/1 20:54
福山,1980/4/1 21:23
福山,1980/4/1 21:23
尾道,1980/4/1 21:41
三原,1980/4/1 21:55
三原,1980/4/1 21:56
広島,1980/4/1 22:59
広島,1980/4/1 23:03
岩国,1980/4/1 23:37
岩国,1980/4/1 23:38
下松,1980/4/2 00:30
徳山,1980/4/2 00:37
徳山,1980/4/2 00:39
熊本,1980/4/2 05:23
熊本,1980/4/2 05:26
八代,1980/4/2 05:53
八代,1980/4/2 05:54
水俣,1980/4/2 06:39
水俣,1980/4/2 06:40
出水,1980/4/2 06:56
出水,1980/4/2 06:58
阿久根,1980/4/2 07:17
川内,1980/4/2 07:46
川内,1980/4/2 07:47
伊集院,1980/4/2 08:14
西鹿児島,1980/4/2 08:35
