駅名,時刻
宇野,1978/10/2 21:00
岡山,1978/10/2 21:33
岡山,1978/10/2 21:41
姫路,1978/10/2 22:49
姫路,1978/10/2 22:49
大阪,1978/10/2 23:54
大阪,1978/10/2 23:58
静岡,1978/10/3 4:49
静岡,1978/10/3 4:51
熱海,1978/10/3 5:53
熱海,1978/10/3 5:54
横浜,1978/10/3 6:57
東京,1978/10/3 7:25
