駅名,時刻
東京,1978/10/2 22:00
東京,1978/10/2 22:45
横浜,1978/10/2 23:13
小田原,1978/10/3 0:10
小田原,1978/10/3 0:11
熱海,1978/10/3 0:33
熱海,1978/10/3 0:34
静岡,1978/10/3 1:40
静岡,1978/10/3 1:42
浜松,1978/10/3 2:46
浜松,1978/10/3 2:59
豊橋,1978/10/3 3:35
豊橋,1978/10/3 3:36
岐阜,1978/10/3 5:21
岐阜,1978/10/3 5:23
米原,1978/10/3 6:08
米原,1978/10/3 6:10
京都,1978/10/3 7:17
京都,1978/10/3 7:19
大阪,1978/10/3 8:00
