駅名,時刻
鳥栖,1978/10/3 9:58
鳥栖,1978/10/3 10:09
佐賀,1978/10/3 10:32
佐賀,1978/10/3 10:33
諫早,1978/10/3 11:48
諫早,1978/10/3 11:49
長崎,1978/10/3 12:11
