X,Y,Z,fid,路線名,会社名,新駅名,旧駅名
131.802467744675,34.0513647746904,0,"4163",山陽線,西日本旅客鉄道,徳山,徳山
131.396254867511,34.0940217158104,0,"4167",山陽線,西日本旅客鉄道,新山口,小郡
131.160245,34.05371,0,"4168",山陽線,西日本旅客鉄道,厚狭,厚狭
131.185665,34.00786,0,"4175",山陽線,西日本旅客鉄道,小野田,小野田
131.569015,34.053215,0,"4179",山陽線,西日本旅客鉄道,防府,防府
130.92169560551,33.9492896149771,0,"4180",山陽線,西日本旅客鉄道,下関,下関
131.22204065528,34.0033023158724,0,"4183",山陽線,西日本旅客鉄道,宇部,宇部
136.2902235,35.3148405,0,"4329",東海道線,西日本旅客鉄道,米原,米原
135.758523947058,34.9856806727985,0,"4349",東海道線,西日本旅客鉄道,京都,京都
135.502011217221,34.7340355189565,0,"4357",東海道線,西日本旅客鉄道,新大阪,新大阪
135.495055,34.70239,0,"4362",東海道線,西日本旅客鉄道,大阪,大阪
135.17822,34.67922,0,"4375",東海道線,西日本旅客鉄道,神戸,神戸
135.19504,34.694795,0,"4379",東海道線,西日本旅客鉄道,三ノ宮,三宮
135.17749,35.056195,0,"4547",福知山線,西日本旅客鉄道,篠山口,篠山口
135.340845,34.811355,0,"4556",福知山線,西日本旅客鉄道,宝塚,宝塚
135.229915,34.88869,0,"4564",福知山線,西日本旅客鉄道,三田,三田
136.629929553414,34.9622176107361,0,"5544",関西線,東海旅客鉄道,四日市,四日市
136.339935,34.20933,0,"5550",紀勢線,東海旅客鉄道,紀伊長島,紀伊長島
136.4505,34.849935,0,"5552",紀勢線,東海旅客鉄道,亀山,亀山
136.190155,34.07433,0,"5553",紀勢線,東海旅客鉄道,尾鷲,尾鷲
136.510722992591,34.7344001481785,0,"5563",紀勢線,東海旅客鉄道,津,津
136.098775,33.889645,0,"5569",紀勢線,東海旅客鉄道,熊野市,熊野市
135.994445,33.72433,0,"5586",紀勢線,東海旅客鉄道,新宮,新宮
139.077943287442,35.103885400909,0,"5764",東海道線,東海旅客鉄道,熱海,熱海
138.652090558113,35.1512609678705,0,"5765",東海道線,東海旅客鉄道,富士,富士
138.860555412868,35.1030401748594,0,"5768",東海道線,東海旅客鉄道,沼津,沼津
138.388920800389,34.9717842872541,0,"5785",東海道線,東海旅客鉄道,静岡,静岡
136.756525228884,35.4095370042941,0,"5804",東海道線,東海旅客鉄道,岐阜,岐阜
136.881733586321,35.1712568425831,0,"5809",東海道線,東海旅客鉄道,名古屋,名古屋
137.382541197347,34.7622757699366,0,"5823",東海道線,東海旅客鉄道,豊橋,豊橋
137.735022012685,34.7040218441626,0,"5833",東海道線,東海旅客鉄道,浜松,浜松
139.767268147481,35.681223104313,0,"7641",東海道線,東日本旅客鉄道,東京,東京
139.62225344513,35.4658446930114,0,"7655",東海道線,東日本旅客鉄道,横浜,横浜
139.155757694743,35.2561029279837,0,"7670",東海道線,東日本旅客鉄道,小田原,小田原
130.35797,32.08932,0,"8624",肥薩おれんじ鉄道線,肥薩おれんじ鉄道,出水,出水
130.396165,32.20493,0,"8626",肥薩おれんじ鉄道線,肥薩おれんじ鉄道,水俣,水俣
130.196395,32.02307,0,"8627",肥薩おれんじ鉄道線,肥薩おれんじ鉄道,阿久根,阿久根
