X,Y,Z,列車名,種別,vertex_index,distance,angle
139.73445,35.60219,0,はやぶさ,本線,87,0.091650729,187.2433184
139.7342,35.60027,0,はやぶさ,本線,88,0.093586936,187.7743762
139.73408,35.59943,0,はやぶさ,本線,89,0.094435465,188.9649755
139.73389,35.59833,0,はやぶさ,本線,90,0.095551753,194.8914776
139.73377,35.598,0,はやぶさ,本線,91,0.095902894,200.616806
139.7337,35.59782,0,はやぶさ,本線,92,0.096096026,201.9351852
139.73365,35.5977,0,はやぶさ,本線,93,0.096226026,202.5313092
139.73346,35.59724,0,はやぶさ,本線,94,0.096723721,205.2832444
139.73315,35.59666,0,はやぶさ,本線,95,0.097381368,210.9069015
139.73275,35.59606,0,はやぶさ,本線,96,0.098102478,213.1754901
139.7325,35.59567,0,はやぶさ,本線,97,0.098565728,213.1754901
139.7324,35.59552,0,はやぶさ,本線,98,0.098746005,213.1704349
139.73108,35.59346,0,はやぶさ,本線,99,0.101192636,212.7073454
139.73043,35.59245,0,はやぶさ,本線,100,0.102393718,212.893878
139.7303,35.59225,0,はやぶさ,本線,101,0.102632256,212.8896698
139.72938,35.59082,0,はやぶさ,本線,102,0.104332638,212.6740268
139.7286,35.5896,0,はやぶさ,本線,103,0.105780671,212.9905475
139.72802,35.58872,0,はやぶさ,本線,104,0.106834616,213.2677547
139.7277,35.58823,0,はやぶさ,本線,105,0.107419851,212.9323341
139.72664,35.58658,0,はやぶさ,本線,106,0.109380999,212.8435382
139.72616,35.58584,0,はやぶさ,本線,107,0.110263042,212.7202981
139.7256,35.58496,0,はやぶさ,本線,108,0.111306114,211.2924627
139.72531,35.58446,0,はやぶさ,本線,109,0.111884128,209.2783309
139.72505,35.58398,0,はやぶさ,本線,110,0.112430022,205.9358107
139.72492,35.58368,0,はやぶさ,本線,111,0.112756977,203.6955909
139.72472,35.58323,0,はやぶさ,本線,112,0.11324942,203.1240383
139.72347,35.58018,0,はやぶさ,本線,113,0.11654563,202.621085
139.7225,35.57789,0,はやぶさ,本線,114,0.119032596,202.7364058
139.72136,35.57514,0,はやぶさ,本線,115,0.122009524,203.9312026
139.72127,35.57495,0,はやぶさ,本線,116,0.122219762,203.9667432
139.72075,35.5737,0,はやぶさ,本線,117,0.123573609,202.6959255
139.72038,35.57282,0,はやぶさ,本線,118,0.124528229,202.8190973
139.71934,35.57035,0,はやぶさ,本線,119,0.127208248,202.9893611
139.71713,35.56518,0,はやぶさ,本線,120,0.132830792,203.5537785
139.71697,35.56482,0,はやぶさ,本線,121,0.133224746,203.0829838
139.71637,35.56335,0,はやぶさ,本線,122,0.13481248,201.8307304
139.71569,35.56162,0,はやぶさ,本線,123,0.136671324,202.3282864
139.71482,35.55959,0,はやぶさ,本線,124,0.138879898,203.1190132
139.71445,35.55872,0,はやぶさ,本線,125,0.139825308,202.9726028
139.71325,35.55588,0,はやぶさ,本線,126,0.142908423,202.473371
139.71225,35.55341,0,はやぶさ,本線,127,0.145573175,202.1996775
139.71116,35.55076,0,はやぶさ,本線,128,0.148438589,202.7029651
139.70999,35.54801,0,はやぶさ,本線,129,0.151427134,202.6739788
139.7091,35.54584,0,はやぶさ,本線,130,0.153772555,202.7134652
139.70869,35.54488,0,はやぶさ,本線,131,0.154816442,202.9800873
139.70837,35.54412,0,はやぶさ,本線,132,0.155641063,199.3465102
139.70812,35.54324,0,はやぶさ,本線,133,0.156555885,196.6924673
139.708,35.54286,0,はやぶさ,本線,134,0.156954383,202.0453098
139.70789,35.54264,0,はやぶさ,本線,135,0.15720035,209.6822912
139.7076,35.54219,0,はやぶさ,本線,136,0.1577357,213.2447994
139.70714,35.5415,0,はやぶさ,本線,137,0.158564977,216.0015791
