旧駅名,新駅名,停車駅
沼津,沼津,停車駅
豊橋,豊橋,停車駅
徳山,徳山,停車駅
宇部,宇部,停車駅
佐賀,佐賀,停車駅
肥前山口,肥前山口,停車駅
諫早,諫早,停車駅
長崎,長崎,停車駅
早岐,早岐,停車駅
佐世保,佐世保,停車駅
浜松,浜松,停車駅
熱海,熱海,停車駅
福山,福山,停車駅
岡山,岡山,停車駅
防府,防府,停車駅
柳井,柳井,停車駅
鹿児島,鹿児島,停車駅
隼人,隼人,停車駅
霧島神宮,霧島神宮,停車駅
都城,都城,停車駅
宮崎,宮崎,停車駅
日向市,日向市,停車駅
延岡,延岡,停車駅
佐伯,佐伯,停車駅
大分,大分,停車駅
別府,別府,停車駅
中津,中津,停車駅
小倉,小倉,停車駅
